date;latitude;longitude;time;cluster_center_lat;cluster_center_lon;Country/Sea;Region;DAY/NIGHT;cluster_category;cluster_indicators;ndetection;cluster_number;point_indicators
2026-08-13;17.88772;47.42865;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;CO
2026-08-13;17.8907;54.09142;2026-08-13 17:17:50;21.06677;51.968433;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;C2H4:2,CO2:5,HCOOH:71,HNO3:15,NH3:2;95;L3_0005;HNO3
2026-08-13;17.90288;50.25269;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.90805;53.03178;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.91407;53.17851;2026-08-13 17:17:50;21.06677;51.968433;Saudi Arabia;Ash-Sharqīyah;NIGHT;others;C2H4:2,CO2:5,HCOOH:71,HNO3:15,NH3:2;95;L3_0005;HNO3
2026-08-13;17.91533;48.43413;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;CO2
2026-08-13;17.93157;51.11815;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.94777;53.67699;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.9551;52.74868;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.96293;48.19017;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;CO2
2026-08-13;17.98292;53.51532;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.98976;52.58332;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;17.9982;55.11345;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;18.03039;53.23236;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3
2026-08-13;18.03446;49.49783;2026-08-13 06:08:46;20.099016;52.14444;Saudi Arabia;Ash-Sharqīyah;DAY;fire_type_1;C2H4:7,CO:39,CO2:106,HCOOH:28,HNO3:109;289;L3_0006;HNO3,CO
